epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,3455.52,0.90342,0.72308,1.35484,0.89346,0.91995,0.94445,0.73127,0.56934,7.45542,0.96715,0.000509438,0.000509438,0.000509438
67,3507.9,0.89268,0.70892,1.34022,0.89356,0.90725,0.94211,0.72648,0.56298,8.78231,0.96673,0.000495291,0.000495291,0.000495291
68,3559.68,0.88938,0.69115,1.34167,0.8885,0.91188,0.94413,0.72581,0.57373,9.16882,0.97013,0.000481144,0.000481144,0.000481144
69,3612.5,0.89942,0.70991,1.35045,0.88977,0.92346,0.94293,0.7306,0.56431,6.89972,0.9647,0.000466997,0.000466997,0.000466997
70,3664.27,0.88957,0.69273,1.33949,0.90248,0.92409,0.95038,0.73749,0.56278,7.15508,0.96217,0.00045285,0.00045285,0.00045285
71,3715.27,0.88862,0.69105,1.34451,0.90451,0.913,0.94681,0.72705,0.56063,6.20916,0.95797,0.000438703,0.000438703,0.000438703
72,3767.08,0.88703,0.68576,1.33946,0.90694,0.91693,0.95297,0.73889,0.55951,7.15598,0.95293,0.000424556,0.000424556,0.000424556
73,3819,0.87492,0.66177,1.32819,0.90487,0.92447,0.95016,0.73892,0.54808,5.6872,0.94695,0.000410409,0.000410409,0.000410409
74,3870.67,0.88223,0.65473,1.3343,0.91567,0.91892,0.95114,0.73874,0.55363,4.69251,0.94804,0.000396262,0.000396262,0.000396262
75,3923.76,0.87359,0.67513,1.33261,0.9111,0.91941,0.95241,0.7448,0.54943,6.59744,0.94578,0.000382115,0.000382115,0.000382115
76,3975.41,0.87303,0.671,1.3237,0.93088,0.92124,0.96225,0.75575,0.5415,3.57446,0.93665,0.000367967,0.000367967,0.000367967
77,4027.24,0.86123,0.65318,1.32476,0.90744,0.9147,0.9499,0.74439,0.54698,8.60358,0.94251,0.00035382,0.00035382,0.00035382
78,4079.1,0.87852,0.67689,1.33157,0.90928,0.94527,0.95643,0.75254,0.53792,6.44915,0.93081,0.000339673,0.000339673,0.000339673
79,4131.04,0.87072,0.6609,1.3236,0.91422,0.92736,0.95675,0.74964,0.54347,5.70922,0.93629,0.000325526,0.000325526,0.000325526
80,4182.98,0.85978,0.63986,1.31195,0.92229,0.93841,0.96023,0.7548,0.53248,3.79297,0.92516,0.000311379,0.000311379,0.000311379
81,4234.9,0.84918,0.64031,1.31506,0.90639,0.93769,0.95606,0.75715,0.53499,7.15638,0.92879,0.000297232,0.000297232,0.000297232
82,4286.7,0.84907,0.635,1.31125,0.92242,0.92439,0.95854,0.75997,0.53137,7.03778,0.92513,0.000283085,0.000283085,0.000283085
83,4338.75,0.85338,0.6294,1.31627,0.91365,0.93178,0.95944,0.75757,0.52758,8.50442,0.92071,0.000268938,0.000268938,0.000268938
84,4390.68,0.85264,0.64634,1.31495,0.93458,0.91486,0.96271,0.76284,0.53075,4.96983,0.92381,0.000254791,0.000254791,0.000254791
85,4443.27,0.83392,0.63101,1.30464,0.91832,0.92788,0.96042,0.76126,0.52948,9.00828,0.92142,0.000240644,0.000240644,0.000240644
86,4495.39,0.83526,0.61935,1.3068,0.94139,0.92651,0.96608,0.7668,0.52718,3.54042,0.9185,0.000226497,0.000226497,0.000226497
87,4548.05,0.83331,0.62236,1.29567,0.93201,0.9417,0.96563,0.76728,0.52139,3.36329,0.91259,0.000212349,0.000212349,0.000212349
88,4600.29,0.83094,0.61793,1.29412,0.9359,0.93637,0.96699,0.76944,0.5181,3.96547,0.9107,0.000198202,0.000198202,0.000198202
89,4652.06,0.83553,0.62427,1.30346,0.9349,0.93868,0.96815,0.77496,0.52254,2.41276,0.91186,0.000184055,0.000184055,0.000184055
90,4704.07,0.83437,0.61506,1.29774,0.93458,0.92748,0.9647,0.77316,0.5149,4.65452,0.90494,0.000169908,0.000169908,0.000169908
91,4758.91,0.73325,0.48065,1.35301,0.92034,0.93373,0.96322,0.76966,0.51188,6.20251,0.90614,0.000155761,0.000155761,0.000155761
92,4810.46,0.72533,0.4459,1.35748,0.94282,0.9344,0.96768,0.77588,0.50797,3.53533,0.90123,0.000141614,0.000141614,0.000141614
93,4863.21,0.71734,0.44404,1.3399,0.94091,0.94073,0.96864,0.77665,0.50815,3.92733,0.9024,0.000127467,0.000127467,0.000127467
94,4914.63,0.70551,0.44063,1.33865,0.9308,0.95101,0.97187,0.78401,0.49873,4.01173,0.89357,0.00011332,0.00011332,0.00011332
95,4965.96,0.70817,0.42737,1.3402,0.93064,0.95043,0.97029,0.7853,0.49512,3.52548,0.89181,9.91726e-05,9.91726e-05,9.91726e-05
96,5017.36,0.69206,0.42332,1.31783,0.94336,0.95173,0.97181,0.78583,0.49036,3.39456,0.88569,8.50255e-05,8.50255e-05,8.50255e-05
97,5068.88,0.68745,0.42718,1.32651,0.93486,0.95424,0.9706,0.78745,0.49099,4.75087,0.88454,7.08784e-05,7.08784e-05,7.08784e-05
98,5120.56,0.6902,0.42378,1.32123,0.9391,0.9478,0.97238,0.79246,0.48827,4.09157,0.88171,5.67313e-05,5.67313e-05,5.67313e-05
99,5171.98,0.6802,0.40272,1.32484,0.94578,0.94832,0.97328,0.79235,0.48529,3.43276,0.87882,4.25842e-05,4.25842e-05,4.25842e-05
100,5223.28,0.66433,0.4056,1.29116,0.93843,0.95631,0.97316,0.7938,0.48456,3.40292,0.87819,2.84371e-05,2.84371e-05,2.84371e-05
